id,name,address
700," Veco ļaužu mītne ""Pēterupe"""," Pēterupe, Lode, Lēdurgas pagasts, Siguldas novads"
164," Veco ļaužu un invalīdu pansionāts ""Atvasara"""," ""Atvasaras"", Vecumnieki, Vecumnieku pagasts, Bauskas novads"
262, Vecpiebalgas vidusskola," Gaismas iela 2, Vecpiebalga, Vecpiebalgas pagasts, Cēsu novads"
870, Vecsaules pamatskola," ""Vecsaules Pamatskola"", Vecsaule, Vecsaules pagasts, Bauskas novads"
871, Vecsaules pamatskola," “Ozolaines Pamatskola”, Ozolaine, Vecsaules pagasts, Bauskas novads"
166, Vecumnieku vidusskola," Kalna iela 13A, Vecumnieki, Vecumnieku pagasts, Bauskas novads"
165, Vecumnieku vidusskola," Rīgas 24, Vecumnieki, Vecumnieku pagasts, Bauskas novads"
980, Ventspils Tehnikums," Saules iela 15, Ventspils"
868, Verēmu pamatskola," ""Verēmu Pamatskola"", Škeņeva, Verēmu pagasts, Rēzeknes novads"
802," Veselības un sociālās aprūpes centrs ""Dagda"""," Brīvības iela 29, Dagda, Krāslavas novads"
664, Vestienas pamatskola," Vestienas Muiža, Vestiena, Vestienas pagasts, Madonas novads (skola slēgta)"
912, Vidrižu pamatskola," Skolas iela 5, Vidriži, Vidrižu pagasts, Limbažu novads"
964, Vidrižu pamatskola," Skolas iela 8, Vidriži, Vidrižu pagasts, Limbažu novads"
258, Viduskurzemes pamatskola - attīstības centrs," Saules Stari, Pelči, Pelču pagasts, Kuldīgas novads"
259, Viduskurzemes pamatskola - attīstības centrs," Saules Stari, Pelču pils, Pelču pagasts, Kuldīgas novads"
687, Viduču pamatskola," Skolas iela 1, Semenova, Medņevas pagasts, Balvu novads"
194, Vidzemes Tehnoloģiju un dizaina tehnikums," Egļu gatve 9, Priekuļi, Priekuļu pagasts, Cēsu novads"
193, Vidzemes Tehnoloģiju un dizaina tehnikums," Valmieras iela 19, Cēsis, Cēsu novads"
416, Viesītes vidusskola," ""Rites pamatskola"", Cīruļi, Rites pagasts, Jēkabpils novads"
415, Viesītes vidusskola," Pavasara iela 6A, Viesīte, Jēkabpils novads"
414, Viesītes vidusskola," Vaļņu iela 7, Viesīte, Jēkabpils novads"
562, Vilces pamatskola," Madaru iela 2, Vilce, Vilces pagasts, Jelgavas novads"
561, Vilces pamatskola," Skolas iela 6, Vilce, Vilces pagasts, Jelgavas novads"
253, Vilgāles sākumskola," Snēpele, Snēpeles pagasts, Kuldīgas novads"
499, Virbu sākumskola," Torņu iela 21, Jaunpagasts, Virbu pagasts, Talsu novads"
441, Vircavas vidusskola," Jelgavas iela 2, Vircava, Vircavas pagasts, Jelgavas novads"
395, Vircavas vidusskola," Skolas iela 4, Platone, Platones pagasts, Jelgavas novads"
157," Vispārējā tipa pansionāts ""Madliena"""," Pansionāts, Madliena, Madlienas pagasts, Ogres novads"
324, Viļakas Valsts ģimnāzija," Pils iela 11, Viļaka, Balvu novads"
322, Viļakas sociālās aprūpes centrs," Parka iela 2, Viļaka, Balvu novads"
941, Viļānu vidusskola," Rēzeknes iela 1A, Viļāni, Rēzeknes novads"
718, Višķu sociālās aprūpes centrs," ""Rūpes"", Višķu tehnikums, Višķu pagasts, Augšdaugavas novads"
465, Vānes pamatskola," Prātnieki, Vāne, Vānes pagasts, Tukuma novads"
683, Vārkavas vidusskola," Skolas iela 4, Vārkava, Upmalas pagasts, Preiļu novads"
235, Vārmes pamatskola," Vārme, Vārmes pagasts, Kuldīgas novads"
972, Vērgales pamatskola," Skola, Vērgale, Vērgales pagasts, Dienvidkurzemes novads"
636, Vīpes pamatskola," Vīpes skola, Vīpes pagasts, Jēkabpils novads"
234, Z.A. Meierovica Kabiles pamatskola," Kabile, Kabiles pagasts, Kuldīgas novads"
466, Zantes pamatskola," Skolas iela 14, Zante, Zantes pagasts, Tukuma novads"
418, Zasas vidusskola," Zaļā iela 8, Zasa, Zasas pagasts, Jēkabpils novads"
